,ds,y,unique_id
0,2021-01-01,6,1
1,2021-01-02,4,1
2,2021-01-03,5,1
3,2021-01-04,4,1
4,2021-01-05,2,1
5,2021-01-06,5,1
6,2021-01-07,8,1
7,2021-01-08,8,1
8,2021-01-09,7,1
9,2021-01-10,6,1
10,2021-01-11,10,1
11,2021-01-12,7,1
12,2021-01-13,8,1
13,2021-01-14,7,1
14,2021-01-15,6,1
15,2021-01-16,7,1
16,2021-01-17,4,1
17,2021-01-18,4,1
18,2021-01-19,7,1
19,2021-01-20,4,1
20,2021-01-21,4,1
21,2021-01-22,9,1
22,2021-01-23,7,1
23,2021-01-24,8,1
24,2021-01-25,6,1
25,2021-01-26,6,1
26,2021-01-27,8,1
27,2021-01-28,4,1
28,2021-01-29,5,1
29,2021-01-30,7,1
30,2021-01-31,5,1
31,2021-02-01,5,1
32,2021-02-02,4,1
33,2021-02-03,11,1
34,2021-02-04,6,1
35,2021-02-05,2,1
36,2021-02-06,6,1
37,2021-02-07,4,1
38,2021-02-08,3,1
39,2021-02-09,7,1
40,2021-02-10,7,1
41,2021-02-11,7,1
42,2021-02-12,3,1
43,2021-02-13,9,1
44,2021-02-14,8,1
45,2021-02-15,3,1
46,2021-02-16,11,1
47,2021-02-17,7,1
48,2021-02-18,3,1
49,2021-02-19,17,1
50,2021-02-20,9,1
51,2021-02-21,6,1
52,2021-02-22,4,1
53,2021-02-23,6,1
54,2021-02-24,4,1
55,2021-02-25,6,1
56,2021-02-26,7,1
57,2021-02-27,7,1
58,2021-02-28,8,1
59,2021-03-01,4,1
60,2021-03-02,1,1
61,2021-03-03,3,1
62,2021-03-04,3,1
63,2021-03-05,4,1
64,2021-03-06,12,1
65,2021-03-07,8,1
66,2021-03-08,7,1
67,2021-03-09,6,1
68,2021-03-10,5,1
69,2021-03-11,4,1
70,2021-03-12,11,1
71,2021-03-13,6,1
72,2021-03-14,9,1
73,2021-03-15,4,1
74,2021-03-16,5,1
75,2021-03-17,3,1
76,2021-03-18,6,1
77,2021-03-19,8,1
78,2021-03-20,9,1
79,2021-03-21,5,1
80,2021-03-22,4,1
81,2021-03-23,9,1
82,2021-03-24,4,1
83,2021-03-25,6,1
84,2021-03-26,8,1
85,2021-03-27,13,1
86,2021-03-28,7,1
87,2021-03-29,3,1
88,2021-03-30,5,1
89,2021-03-31,5,1
90,2021-04-01,9,1
91,2021-04-02,10,1
92,2021-04-03,11,1
93,2021-04-04,5,1
94,2021-04-05,5,1
95,2021-04-06,2,1
96,2021-04-07,7,1
97,2021-04-08,4,1
98,2021-04-09,6,1
99,2021-04-10,4,1
100,2021-04-11,7,1
101,2021-04-12,7,1
102,2021-04-13,4,1
103,2021-04-14,11,1
104,2021-04-15,9,1
105,2021-04-16,10,1
106,2021-04-17,6,1
107,2021-04-18,8,1
108,2021-04-19,2,1
109,2021-04-20,9,1
110,2021-04-21,6,1
111,2021-04-22,10,1
112,2021-04-23,11,1
113,2021-04-24,14,1
114,2021-04-25,13,1
115,2021-04-26,4,1
116,2021-04-27,4,1
117,2021-04-28,5,1
118,2021-04-29,5,1
119,2021-04-30,7,1
120,2021-05-01,6,1
121,2021-05-02,4,1
122,2021-05-03,2,1
123,2021-05-04,6,1
124,2021-05-05,6,1
125,2021-05-06,7,1
126,2021-05-07,11,1
127,2021-05-08,12,1
128,2021-05-09,7,1
129,2021-05-10,12,1
130,2021-05-11,6,1
131,2021-05-12,4,1
132,2021-05-13,8,1
133,2021-05-14,7,1
134,2021-05-15,4,1
135,2021-05-16,8,1
136,2021-05-17,5,1
137,2021-05-18,3,1
138,2021-05-19,7,1
139,2021-05-20,8,1
140,2021-05-21,7,1
141,2021-05-22,5,1
142,2021-05-23,9,1
143,2021-05-24,6,1
144,2021-05-25,4,1
145,2021-05-26,8,1
146,2021-05-27,9,1
147,2021-05-28,6,1
148,2021-05-29,6,1
149,2021-05-30,11,1
150,2021-05-31,7,1
151,2021-06-01,7,1
152,2021-06-02,10,1
153,2021-06-03,7,1
154,2021-06-04,13,1
155,2021-06-05,9,1
156,2021-06-06,10,1
157,2021-06-07,9,1
158,2021-06-08,9,1
159,2021-06-09,13,1
160,2021-06-10,13,1
161,2021-06-11,13,1
162,2021-06-12,18,1
163,2021-06-13,9,1
164,2021-06-14,9,1
165,2021-06-15,10,1
166,2021-06-16,13,1
167,2021-06-17,7,1
168,2021-06-18,12,1
169,2021-06-19,14,1
170,2021-06-20,9,1
171,2021-06-21,13,1
172,2021-06-22,4,1
173,2021-06-23,4,1
174,2021-06-24,7,1
175,2021-06-25,5,1
176,2021-06-26,11,1
177,2021-06-27,10,1
178,2021-06-28,5,1
179,2021-06-29,8,1
180,2021-06-30,6,1
181,2021-07-01,18,1
182,2021-07-02,16,1
183,2021-07-03,13,1
184,2021-07-04,5,1
185,2021-07-05,8,1
186,2021-07-06,7,1
187,2021-07-07,13,1
188,2021-07-08,15,1
189,2021-07-09,10,1
190,2021-07-10,11,1
191,2021-07-11,17,1
192,2021-07-12,8,1
193,2021-07-13,3,1
194,2021-07-14,8,1
195,2021-07-15,14,1
196,2021-07-16,12,1
197,2021-07-17,11,1
198,2021-07-18,14,1
199,2021-07-19,9,1
200,2021-07-20,6,1
201,2021-07-21,10,1
202,2021-07-22,7,1
203,2021-07-23,13,1
204,2021-07-24,13,1
205,2021-07-25,11,1
206,2021-07-26,10,1
207,2021-07-27,6,1
208,2021-07-28,6,1
209,2021-07-29,10,1
210,2021-07-30,8,1
211,2021-07-31,12,1
212,2021-08-01,8,1
213,2021-08-02,7,1
214,2021-08-03,11,1
215,2021-08-04,5,1
216,2021-08-05,8,1
217,2021-08-06,8,1
218,2021-08-07,10,1
219,2021-08-08,10,1
220,2021-08-09,10,1
221,2021-08-10,5,1
222,2021-08-11,5,1
223,2021-08-12,19,1
224,2021-08-13,11,1
225,2021-08-14,11,1
226,2021-08-15,7,1
227,2021-08-16,10,1
228,2021-08-17,10,1
229,2021-08-18,5,1
230,2021-08-19,10,1
231,2021-08-20,11,1
232,2021-08-21,5,1
233,2021-08-22,6,1
234,2021-08-23,9,1
235,2021-08-24,7,1
236,2021-08-25,5,1
237,2021-08-26,6,1
238,2021-08-27,7,1
239,2021-08-28,11,1
240,2021-08-29,20,1
241,2021-08-30,4,1
242,2021-08-31,12,1
243,2021-09-01,9,1
244,2021-09-02,6,1
245,2021-09-03,11,1
246,2021-09-04,12,1
247,2021-09-05,14,1
248,2021-09-06,7,1
249,2021-09-07,12,1
250,2021-09-08,9,1
251,2021-09-09,7,1
252,2021-09-10,12,1
253,2021-09-11,7,1
254,2021-09-12,10,1
255,2021-09-13,10,1
256,2021-09-14,9,1
257,2021-09-15,6,1
258,2021-09-16,3,1
259,2021-09-17,14,1
260,2021-09-18,18,1
261,2021-09-19,9,1
262,2021-09-20,6,1
263,2021-09-21,9,1
264,2021-09-22,6,1
265,2021-09-23,15,1
266,2021-09-24,11,1
267,2021-09-25,7,1
268,2021-09-26,10,1
269,2021-09-27,6,1
270,2021-09-28,7,1
271,2021-09-29,6,1
272,2021-09-30,7,1
273,2021-10-01,17,1
274,2021-10-02,15,1
275,2021-10-03,8,1
276,2021-10-04,8,1
277,2021-10-05,5,1
278,2021-10-06,14,1
279,2021-10-07,3,1
280,2021-10-08,7,1
281,2021-10-09,21,1
282,2021-10-10,9,1
283,2021-10-11,4,1
284,2021-10-12,5,1
285,2021-10-13,9,1
286,2021-10-14,10,1
287,2021-10-15,9,1
288,2021-10-16,12,1
289,2021-10-17,11,1
290,2021-10-18,6,1
291,2021-10-19,10,1
292,2021-10-20,8,1
293,2021-10-21,11,1
294,2021-10-22,12,1
295,2021-10-23,4,1
296,2021-10-24,11,1
297,2021-10-25,11,1
298,2021-10-26,7,1
299,2021-10-27,7,1
300,2021-10-28,8,1
301,2021-10-29,12,1
302,2021-10-30,9,1
303,2021-10-31,10,1
304,2021-11-01,3,1
305,2021-11-02,4,1
306,2021-11-03,6,1
307,2021-11-04,5,1
308,2021-11-05,8,1
309,2021-11-06,10,1
310,2021-11-07,7,1
311,2021-11-08,8,1
312,2021-11-09,12,1
313,2021-11-10,9,1
314,2021-11-11,8,1
315,2021-11-12,7,1
316,2021-11-13,6,1
317,2021-11-14,8,1
318,2021-11-15,9,1
319,2021-11-16,9,1
320,2021-11-17,6,1
321,2021-11-18,7,1
322,2021-11-19,19,1
323,2021-11-20,10,1
324,2021-11-21,8,1
325,2021-11-22,5,1
326,2021-11-23,3,1
327,2021-11-24,9,1
328,2021-11-25,5,1
329,2021-11-26,17,1
330,2021-11-27,6,1
331,2021-11-28,8,1
332,2021-11-29,7,1
333,2021-11-30,11,1
334,2021-12-01,6,1
335,2021-12-02,11,1
336,2021-12-03,13,1
337,2021-12-04,11,1
338,2021-12-05,8,1
339,2021-12-06,10,1
340,2021-12-07,8,1
341,2021-12-08,13,1
342,2021-12-09,11,1
343,2021-12-10,6,1
344,2021-12-11,15,1
345,2021-12-12,11,1
346,2021-12-13,9,1
347,2021-12-14,6,1
348,2021-12-15,5,1
349,2021-12-16,13,1
350,2021-12-17,7,1
351,2021-12-18,15,1
352,2021-12-19,13,1
353,2021-12-20,9,1
354,2021-12-21,8,1
355,2021-12-22,9,1
356,2021-12-23,16,1
357,2021-12-24,11,1
358,2021-12-25,15,1
359,2021-12-26,9,1
360,2021-12-27,8,1
361,2021-12-28,6,1
362,2021-12-29,8,1
363,2021-12-30,10,1
364,2021-12-31,9,1
365,2022-01-01,7,1
366,2022-01-02,6,1
367,2022-01-03,2,1
368,2022-01-04,10,1
369,2022-01-05,9,1
370,2022-01-06,4,1
371,2022-01-07,5,1
372,2022-01-08,12,1
373,2022-01-09,13,1
374,2022-01-10,4,1
375,2022-01-11,9,1
376,2022-01-12,9,1
377,2022-01-13,9,1
378,2022-01-14,16,1
379,2022-01-15,8,1
380,2022-01-16,9,1
381,2022-01-17,16,1
382,2022-01-18,6,1
383,2022-01-19,14,1
384,2022-01-20,2,1
385,2022-01-21,15,1
386,2022-01-22,11,1
387,2022-01-23,7,1
388,2022-01-24,6,1
389,2022-01-25,8,1
390,2022-01-26,11,1
391,2022-01-27,6,1
392,2022-01-28,10,1
393,2022-01-29,8,1
394,2022-01-30,9,1
395,2022-01-31,7,1
396,2022-02-01,3,1
397,2022-02-02,3,1
398,2022-02-03,1,1
399,2022-02-04,13,1
400,2022-02-05,15,1
401,2022-02-06,6,1
402,2022-02-07,5,1
403,2022-02-08,8,1
404,2022-02-09,5,1
405,2022-02-10,6,1
406,2022-02-11,12,1
407,2022-02-12,13,1
408,2022-02-13,14,1
409,2022-02-14,9,1
410,2022-02-15,6,1
411,2022-02-16,5,1
412,2022-02-17,10,1
413,2022-02-18,8,1
414,2022-02-19,5,1
415,2022-02-20,12,1
416,2022-02-21,7,1
417,2022-02-22,6,1
418,2022-02-23,8,1
419,2022-02-24,3,1
420,2022-02-25,12,1
421,2022-02-26,16,1
422,2022-02-27,10,1
423,2022-02-28,6,1
424,2022-03-01,8,1
425,2022-03-02,5,1
426,2022-03-03,7,1
427,2022-03-04,5,1
428,2022-03-05,10,1
429,2022-03-06,14,1
430,2022-03-07,6,1
431,2022-03-08,6,1
432,2022-03-09,11,1
433,2022-03-10,3,1
434,2022-03-11,9,1
435,2022-03-12,9,1
436,2022-03-13,8,1
437,2022-03-14,5,1
438,2022-03-15,8,1
439,2022-03-16,6,1
440,2022-03-17,6,1
441,2022-03-18,10,1
442,2022-03-19,14,1
443,2022-03-20,7,1
444,2022-03-21,5,1
445,2022-03-22,8,1
446,2022-03-23,9,1
447,2022-03-24,7,1
448,2022-03-25,7,1
449,2022-03-26,6,1
450,2022-03-27,9,1
451,2022-03-28,8,1
452,2022-03-29,6,1
453,2022-03-30,6,1
454,2022-03-31,8,1
455,2022-04-01,8,1
456,2022-04-02,11,1
457,2022-04-03,6,1
458,2022-04-04,6,1
459,2022-04-05,6,1
460,2022-04-06,2,1
461,2022-04-07,8,1
462,2022-04-08,10,1
463,2022-04-09,9,1
464,2022-04-10,14,1
465,2022-04-11,8,1
466,2022-04-12,7,1
467,2022-04-13,11,1
468,2022-04-14,9,1
469,2022-04-15,4,1
470,2022-04-16,20,1
471,2022-04-17,12,1
472,2022-04-18,6,1
473,2022-04-19,12,1
474,2022-04-20,7,1
475,2022-04-21,4,1
476,2022-04-22,8,1
477,2022-04-23,5,1
478,2022-04-24,5,1
479,2022-04-25,5,1
480,2022-04-26,9,1
481,2022-04-27,6,1
482,2022-04-28,9,1
483,2022-04-29,8,1
484,2022-04-30,11,1
485,2022-05-01,11,1
486,2022-05-02,8,1
487,2022-05-03,5,1
488,2022-05-04,12,1
489,2022-05-05,8,1
490,2022-05-06,8,1
491,2022-05-07,15,1
492,2022-05-08,9,1
493,2022-05-09,8,1
494,2022-05-10,6,1
495,2022-05-11,10,1
496,2022-05-12,8,1
497,2022-05-13,10,1
498,2022-05-14,8,1
499,2022-05-15,19,1
500,2022-05-16,4,1
501,2022-05-17,10,1
502,2022-05-18,9,1
503,2022-05-19,9,1
504,2022-05-20,11,1
505,2022-05-21,19,1
506,2022-05-22,11,1
507,2022-05-23,12,1
508,2022-05-24,4,1
509,2022-05-25,10,1
510,2022-05-26,10,1
511,2022-05-27,15,1
512,2022-05-28,12,1
513,2022-05-29,9,1
514,2022-05-30,7,1
515,2022-05-31,4,1
516,2022-06-01,8,1
517,2022-06-02,9,1
518,2022-06-03,11,1
519,2022-06-04,11,1
520,2022-06-05,7,1
521,2022-06-06,5,1
522,2022-06-07,5,1
523,2022-06-08,5,1
524,2022-06-09,7,1
525,2022-06-10,5,1
526,2022-06-11,13,1
527,2022-06-12,16,1
528,2022-06-13,11,1
529,2022-06-14,6,1
530,2022-06-15,11,1
531,2022-06-16,11,1
532,2022-06-17,15,1
533,2022-06-18,12,1
534,2022-06-19,18,1
535,2022-06-20,6,1
536,2022-06-21,11,1
537,2022-06-22,13,1
538,2022-06-23,11,1
539,2022-06-24,9,1
540,2022-06-25,9,1
541,2022-06-26,16,1
542,2022-06-27,7,1
543,2022-06-28,10,1
544,2022-06-29,10,1
545,2022-06-30,9,1
546,2022-07-01,14,1
547,2022-07-02,12,1
548,2022-07-03,8,1
549,2022-07-04,9,1
550,2022-07-05,9,1
551,2022-07-06,10,1
552,2022-07-07,7,1
553,2022-07-08,17,1
554,2022-07-09,10,1
555,2022-07-10,14,1
556,2022-07-11,8,1
557,2022-07-12,12,1
558,2022-07-13,17,1
559,2022-07-14,11,1
560,2022-07-15,9,1
561,2022-07-16,13,1
562,2022-07-17,10,1
563,2022-07-18,9,1
564,2022-07-19,5,1
565,2022-07-20,10,1
566,2022-07-21,10,1
567,2022-07-22,10,1
568,2022-07-23,12,1
569,2022-07-24,12,1
570,2022-07-25,4,1
571,2022-07-26,12,1
572,2022-07-27,12,1
573,2022-07-28,9,1
574,2022-07-29,9,1
575,2022-07-30,6,1
576,2022-07-31,15,1
577,2022-08-01,9,1
578,2022-08-02,11,1
579,2022-08-03,14,1
580,2022-08-04,6,1
581,2022-08-05,10,1
582,2022-08-06,17,1
583,2022-08-07,7,1
584,2022-08-08,6,1
585,2022-08-09,3,1
586,2022-08-10,9,1
587,2022-08-11,3,1
588,2022-08-12,10,1
589,2022-08-13,16,1
590,2022-08-14,8,1
591,2022-08-15,9,1
592,2022-08-16,7,1
593,2022-08-17,7,1
594,2022-08-18,7,1
595,2022-08-19,15,1
596,2022-08-20,7,1
597,2022-08-21,21,1
598,2022-08-22,8,1
599,2022-08-23,11,1
600,2022-08-24,10,1
601,2022-08-25,7,1
602,2022-08-26,11,1
603,2022-08-27,16,1
604,2022-08-28,10,1
605,2022-08-29,8,1
606,2022-08-30,10,1
607,2022-08-31,6,1
608,2022-09-01,7,1
609,2022-09-02,7,1
610,2022-09-03,7,1
611,2022-09-04,19,1
612,2022-09-05,4,1
613,2022-09-06,4,1
614,2022-09-07,10,1
615,2022-09-08,8,1
616,2022-09-09,6,1
617,2022-09-10,10,1
618,2022-09-11,8,1
619,2022-09-12,12,1
620,2022-09-13,8,1
621,2022-09-14,10,1
622,2022-09-15,9,1
623,2022-09-16,8,1
624,2022-09-17,13,1
625,2022-09-18,13,1
626,2022-09-19,8,1
627,2022-09-20,10,1
628,2022-09-21,9,1
629,2022-09-22,12,1
630,2022-09-23,12,1
631,2022-09-24,13,1
632,2022-09-25,10,1
633,2022-09-26,5,1
634,2022-09-27,5,1
635,2022-09-28,9,1
636,2022-09-29,11,1
637,2022-09-30,9,1
638,2022-10-01,15,1
639,2022-10-02,11,1
640,2022-10-03,14,1
641,2022-10-04,11,1
642,2022-10-05,7,1
643,2022-10-06,12,1
644,2022-10-07,13,1
645,2022-10-08,9,1
646,2022-10-09,9,1
647,2022-10-10,4,1
648,2022-10-11,6,1
649,2022-10-12,3,1
650,2022-10-13,12,1
651,2022-10-14,8,1
652,2022-10-15,16,1
653,2022-10-16,11,1
654,2022-10-17,9,1
655,2022-10-18,11,1
656,2022-10-19,5,1
657,2022-10-20,13,1
658,2022-10-21,12,1
659,2022-10-22,13,1
660,2022-10-23,14,1
661,2022-10-24,4,1
662,2022-10-25,9,1
663,2022-10-26,7,1
664,2022-10-27,5,1
665,2022-10-28,9,1
666,2022-10-29,11,1
667,2022-10-30,12,1
668,2022-10-31,14,1
669,2022-11-01,5,1
670,2022-11-02,11,1
671,2022-11-03,5,1
672,2022-11-04,6,1
673,2022-11-05,8,1
674,2022-11-06,10,1
675,2022-11-07,7,1
676,2022-11-08,6,1
677,2022-11-09,11,1
678,2022-11-10,9,1
679,2022-11-11,7,1
680,2022-11-12,10,1
681,2022-11-13,6,1
682,2022-11-14,11,1
683,2022-11-15,12,1
684,2022-11-16,8,1
685,2022-11-17,9,1
686,2022-11-18,5,1
687,2022-11-19,3,1
688,2022-11-20,14,1
689,2022-11-21,8,1
690,2022-11-22,6,1
691,2022-11-23,6,1
692,2022-11-24,10,1
693,2022-11-25,8,1
694,2022-11-26,10,1
695,2022-11-27,9,1
696,2022-11-28,7,1
697,2022-11-29,11,1
698,2022-11-30,4,1
699,2022-12-01,11,1
700,2022-12-02,10,1
701,2022-12-03,12,1
702,2022-12-04,6,1
703,2022-12-05,6,1
704,2022-12-06,9,1
705,2022-12-07,14,1
706,2022-12-08,8,1
707,2022-12-09,8,1
708,2022-12-10,18,1
709,2022-12-11,15,1
710,2022-12-12,6,1
711,2022-12-13,7,1
712,2022-12-14,8,1
713,2022-12-15,6,1
714,2022-12-16,17,1
715,2022-12-17,5,1
716,2022-12-18,16,1
717,2022-12-19,14,1
718,2022-12-20,13,1
719,2022-12-21,10,1
720,2022-12-22,10,1
721,2022-12-23,11,1
722,2022-12-24,7,1
723,2022-12-25,6,1
724,2022-12-26,9,1
725,2022-12-27,6,1
726,2022-12-28,8,1
727,2022-12-29,7,1
728,2022-12-30,4,1
729,2022-12-31,6,1
